Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20195052457,CRIMINAL MISCHIEF,1400,N,11/10/2019 03:00:00 PM,11/10/2019,1500,12/24/2019 08:28:00 AM,12/24/2019,828,PARKING LOTS / GARAGE,905 W 30TH ST,78705,9,BA,3,345,,N,12/24/2019,,,3112986,3112986,30.29848859,-97.74619599,"(30.29848859, -97.74619599)"
20205006197,BURGLARY OF VEHICLE,601,N,02/12/2020 07:00:00 PM,02/12/2020,1900,02/13/2020 09:42:00 AM,02/13/2020,942,STREETS / HWY / ROAD / ALLEY,616 W 34TH ST,78705,9,BA,3,345,2,N,02/13/2020,23F,Theft,3114827,3114827,30.30090244,-97.74029605,"(30.30090244, -97.74029605)"
20198001054,BURGLARY OF VEHICLE,601,N,03/20/2019 09:30:00 PM,03/20/2019,2130,03/21/2019 08:15:00 PM,03/21/2019,2015,RESTAURANTS,409 W 30TH ST,78705,9,BA,1,361,6,N,03/27/2019,23F,Theft,3114647,3114647,30.29579286,-97.74100382,"(30.29579286, -97.74100382)"
20193261381,BURGLARY OF RESIDENCE,500,N,11/22/2019 05:08:00 PM,11/22/2019,1708,11/22/2019 05:08:00 PM,11/22/2019,1708,RESIDENCE / HOME,2501 NUECES ST,78705,9,BA,1,360,,N,12/03/2019,220,Burglary,3114141,3114141,30.28931875,-97.74278133,"(30.28931875, -97.74278133)"
20192710235,DISTURBANCE - OTHER,3401,N,09/28/2019 02:22:00 AM,09/28/2019,222,09/28/2019 03:11:00 AM,09/28/2019,311,RESIDENCE / HOME,409 W 38TH ST,78705,9,BA,1,346,5,N,10/04/2019,,,3115755,3115755,30.30204967,-97.7373238,"(30.30204967, -97.7373238)"
2019971465,THEFT OF BICYCLE,609,N,04/07/2019 12:00:00 AM,04/07/2019,0,04/07/2019 07:54:00 PM,04/07/2019,1954,RESIDENCE / HOME,1104 1/2 W 22ND ST,78705,9,BA,2,358,6.04,N,04/16/2019,23H,Theft,3111855,3111855,30.28581443,-97.75011995,"(30.28581443, -97.75011995)"
2020751758,AUTO THEFT,700,N,03/15/2020 10:30:00 AM,03/15/2020,1030,03/16/2020 12:46:00 AM,03/16/2020,46,RESIDENCE / HOME,201 W 35TH ST,78705,9,BA,1,346,,N,06/18/2020,240,Auto Theft,3116276,3116276,30.29991062,-97.73572999,"(30.29991062, -97.73572999)"
20201640038,ASSAULT W/INJURY-FAM/DATE VIOL,900,Y,06/12/2020 12:15:00 AM,06/12/2020,15,06/12/2020 01:08:00 AM,06/12/2020,108,RESIDENCE / HOME,2800 COLE ST,78705,9,BA,1,348,4,N,06/14/2020,,,3119584,3119584,30.28749022,-97.72558064,"(30.28749022, -97.72558064)"
20201601286,INDECENT EXPOSURE,1706,N,06/08/2020 12:20:00 AM,06/08/2020,20,06/08/2020 07:31:00 PM,06/08/2020,1931,RESIDENCE / HOME,1910 ROBBINS PL,78705,9,BA,2,358,6,N,06/15/2020,,,3112022,3112022,30.28476745,-97.74961873,"(30.28476745, -97.74961873)"
20201670768,AUTO THEFT,700,N,06/14/2020 02:30:00 PM,06/14/2020,1430,06/15/2020 01:44:00 PM,06/15/2020,1344,STREETS / HWY / ROAD / ALLEY,2819 RIO GRANDE ST,78705,9,BA,1,360,,N,06/16/2020,240,Auto Theft,3113811,3113811,30.29507122,-97.74367283,"(30.29507122, -97.74367283)"
20201641562,HARASSMENT,2703,N,06/12/2020 11:42:00 PM,06/12/2020,2342,06/12/2020 11:42:00 PM,06/12/2020,2342,RESIDENCE / HOME,2212 SAN GABRIEL ST,78705,9,BA,2,358,,N,06/17/2020,,,3112358,3112358,30.28662345,-97.74850422,"(30.28662345, -97.74850422)"
20201651205,AUTO THEFT,700,N,06/11/2020 08:00:00 PM,06/11/2020,2000,06/13/2020 08:34:00 PM,06/13/2020,2034,PARKING LOTS / GARAGE,2212 SAN GABRIEL ST,78705,9,BA,2,358,,N,06/15/2020,240,Auto Theft,3112358,3112358,30.28662345,-97.74850422,"(30.28662345, -97.74850422)"
2019460158,POSSESSION OF MARIJUANA,1803,N,02/15/2019 02:44:00 AM,02/15/2019,244,02/15/2019 02:44:00 AM,02/15/2019,244,STREETS / HWY / ROAD / ALLEY,500 W 26TH ST,78705,9,BA,1,360,,C,02/15/2019,,,3114312,3114312,30.29056677,-97.74220589,"(30.29056677, -97.74220589)"
20205023858,THEFT,600,N,06/19/2020 03:30:00 AM,06/19/2020,330,06/19/2020 11:55:00 AM,06/19/2020,1155,OTHER / UNKNOWN,114 LAUREL LN,78705,9,BA,1,346,,N,06/19/2020,23H,Theft,3115705,3115705,30.29686031,-97.73762185,"(30.29686031, -97.73762185)"
20205022842,BURGLARY OF VEHICLE,601,N,06/11/2020 07:00:00 PM,06/11/2020,1900,06/12/2020 10:05:00 AM,06/12/2020,1005,RESIDENCE / HOME,2812 NUECES ST,78705,9,BA,1,360,,N,06/14/2020,23F,Theft,3114021,3114021,30.29434033,-97.74302687,"(30.29434033, -97.74302687)"
20201520936,FAMILY DISTURBANCE,3400,N,05/31/2020 03:58:00 PM,05/31/2020,1558,05/31/2020 03:58:00 PM,05/31/2020,1558,RESIDENCE / HOME,912 E 32ND ST,78705,9,BA,1,348,,N,06/10/2020,,,3119185,3119185,30.2910207,-97.72674979,"(30.2910207, -97.72674979)"
20201681327,DATING DISTURBANCE,2400,N,06/16/2020 10:10:00 PM,06/16/2020,2210,06/16/2020 10:56:00 PM,06/16/2020,2256,RESIDENCE / HOME,800 W 26TH ST,78705,9,BA,3,356,,N,06/16/2020,,,3113247,3113247,30.29095654,-97.7455707,"(30.29095654, -97.7455707)"
20195011712,THEFT OF BICYCLE,609,N,03/20/2019 05:00:00 PM,03/20/2019,1700,03/20/2019 09:05:00 PM,03/20/2019,2105,RESIDENCE / HOME,704 W 21ST ST,78705,9,BA,2,358,6.04,N,03/25/2019,23H,Theft,3113246,3113246,30.28432363,-97.74575169,"(30.28432363, -97.74575169)"
20198000586,THEFT,600,N,02/09/2019 12:15:00 AM,02/09/2019,15,02/19/2019 02:15:00 AM,02/19/2019,215,PARKING LOTS / GARAGE,910 W 25TH ST,78705,9,BA,3,356,6.03,N,02/27/2019,23H,Theft,3112695,3112695,30.28963665,-97.7473555,"(30.28963665, -97.7473555)"
