Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
2020830874,DISTURBANCE - OTHER,3401,N,03/23/2020 04:05:00 PM,03/23/2020,1605,03/23/2020 05:11:00 PM,03/23/2020,1711,RESIDENCE / HOME,2511 SAN GABRIEL ST,78705,9,BA,3,356,6,,,,,3112719,3112719,30.29039105,-97.74725923,"(30.29039105, -97.74725923)"
2020701820,ASSAULT W/INJURY-FAM/DATE VIOL,900,Y,03/10/2020 08:40:00 PM,03/10/2020,2040,03/10/2020 09:38:00 PM,03/10/2020,2138,RESIDENCE / HOME,901 W 22ND ST,78705,9,BA,2,358,,C,03/15/2020,,,3112844,3112844,30.28519598,-97.74700228,"(30.28519598, -97.74700228)"
20208003711,THEFT OF BICYCLE,609,N,08/10/2020 07:05:00 AM,08/10/2020,705,08/18/2020 07:19:00 PM,08/18/2020,1919,RESIDENCE / HOME,2800 RIO GRANDE ST,78705,9,BA,3,356,6,N,08/20/2020,23H,Theft,3113572,3113572,30.29372034,-97.74446656,"(30.29372034, -97.74446656)"
2021420311,AUTO THEFT,700,N,02/10/2021 08:00:00 PM,02/10/2021,2000,02/11/2021 08:01:00 AM,02/11/2021,801,PARKING LOTS / GARAGE,709 W 22ND ST,78705,9,BA,2,358,6,N,02/11/2021,240,Auto Theft,3113171,3113171,30.2849854,-97.74597163,"(30.2849854, -97.74597163)"
20215009040,FRAUD - OTHER,1199,N,03/08/2021 08:00:00 AM,03/08/2021,800,03/08/2021 08:49:00 PM,03/08/2021,2049,RESIDENCE / HOME,3200 GRANDVIEW ST,78705,9,BA,3,345,2,N,03/09/2021,,,3113478,3113478,30.30124721,-97.74456259,"(30.30124721, -97.74456259)"
20205049202,THEFT OF BICYCLE,609,N,11/18/2020 12:00:00 PM,11/18/2020,1200,12/02/2020 03:42:00 PM,12/02/2020,1542,RESIDENCE / HOME,600 W 26TH ST,78705,9,BA,1,360,,N,12/03/2020,23H,Theft,3113909,3113909,30.29110936,-97.74346854,"(30.29110936, -97.74346854)"
20215011283,THEFT CATALYTIC CONVERTER,620,N,03/04/2021 10:00:00 PM,03/04/2021,2200,03/22/2021 04:39:00 PM,03/22/2021,1639,RESIDENCE / HOME,2401 LONGVIEW ST,78705,9,BA,3,356,6,N,03/31/2021,23G,Theft,3111713,3111713,30.2886878,-97.75049307,"(30.2886878, -97.75049307)"
20215019874,THEFT OF BICYCLE,609,N,05/15/2021 12:00:00 PM,05/15/2021,1200,05/26/2021 08:30:00 AM,05/26/2021,830,OTHER / UNKNOWN,2208 PEARL ST,78705,9,BA,2,358,,N,05/27/2021,23H,Theft,3112951,3112951,30.28606053,-97.74664002,"(30.28606053, -97.74664002)"
20208005868,THEFT OF BICYCLE,609,N,11/28/2020 08:00:00 PM,11/28/2020,2000,11/29/2020 03:26:00 PM,11/29/2020,1526,RESIDENCE / HOME,407 W 34TH ST,78705,9,BA,1,346,5,N,12/01/2020,23H,Theft,3115395,3115395,30.2996043,-97.73853062,"(30.2996043, -97.73853062)"
20215006197,HARASSMENT,2703,N,02/09/2021 09:00:00 PM,02/09/2021,2100,02/11/2021 05:12:00 PM,02/11/2021,1712,RESIDENCE / HOME,1907 ROBBINS PL,78705,9,BA,2,358,,N,03/31/2021,,,3112189,3112189,30.28441868,-97.74909884,"(30.28441868, -97.74909884)"
